
> my-project@0.1.0 dev
> next dev -p 3000

▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.119.76.145:3000
✓ Ready in 727ms
⚠ Warning: Next.js ignored package-lock.json in /home/raftlee/Documentos/Workspace because it is outside the current Git repository (/home/raftlee/Documentos/Workspace/prototipo-vigia).
 To use this directory, set `turbopack.root` in your Next.js config.

✓ Running next.config.mjs took 29ms

 GET /alertas 200 in 2.0s (next.js: 1443ms, proxy.ts: 258ms, application-code: 298ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 583ms (proxy.ts: 12ms)
 GET /api/auth/me 200 in 229ms (next.js: 115ms, proxy.ts: 51ms, application-code: 62ms)
 GET /api/auth/me 200 in 262ms (next.js: 90ms, proxy.ts: 37ms, application-code: 136ms)
 GET /api/v1/alertas?limit=50 200 in 370ms (next.js: 147ms, proxy.ts: 51ms, application-code: 172ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 403ms (next.js: 168ms, proxy.ts: 45ms, application-code: 190ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 381ms (next.js: 230ms, proxy.ts: 42ms, application-code: 109ms)
 GET /api/v1/alertas?limit=50 200 in 402ms (next.js: 168ms, proxy.ts: 124ms, application-code: 110ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 157ms (next.js: 123ms, proxy.ts: 8ms, application-code: 26ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 60ms (next.js: 24ms, proxy.ts: 6ms, application-code: 31ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 62ms (next.js: 25ms, proxy.ts: 7ms, application-code: 31ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 53ms (next.js: 23ms, proxy.ts: 6ms, application-code: 24ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 75ms (next.js: 24ms, proxy.ts: 7ms, application-code: 44ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 62ms (next.js: 25ms, proxy.ts: 5ms, application-code: 32ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 57ms (next.js: 24ms, proxy.ts: 8ms, application-code: 25ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 52ms (next.js: 22ms, proxy.ts: 5ms, application-code: 25ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 81ms (next.js: 30ms, proxy.ts: 6ms, application-code: 45ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 120ms (next.js: 26ms, proxy.ts: 7ms, application-code: 86ms)
